algo,taille,temps,test
brute,500,0.038645029068,0.0000001545801
brute,500,0.0378279685974,0.0000001513119
brute,500,0.0373950004578,0.0000001495800
brute,500,0.0381879806519,0.0000001527519
brute,500,0.0384809970856,0.0000001539240
brute,500,0.0380489826202,0.0000001521959
brute,500,0.0379531383514,0.0000001518126
brute,500,0.0383098125458,0.0000001532393
brute,500,0.0386672019958,0.0000001546688
brute,500,0.0377559661865,0.0000001510239
seuil,500,0.00308799743652,0.0000061759949
seuil,500,0.00327205657959,0.0000065441132
seuil,500,0.00310492515564,0.0000062098503
seuil,500,0.00343298912048,0.0000068659782
seuil,500,0.00305700302124,0.0000061140060
seuil,500,0.0030210018158,0.0000060420036
seuil,500,0.00318813323975,0.0000063762665
seuil,500,0.00345087051392,0.0000069017410
seuil,500,0.0032799243927,0.0000065598488
seuil,500,0.00319409370422,0.0000063881874
seuil4,500,0.0020809173584,0.0000041618347
seuil4,500,0.00233697891235,0.0000046739578
seuil4,500,0.00243210792542,0.0000048642159
seuil4,500,0.0023500919342,0.0000047001839
seuil4,500,0.00233006477356,0.0000046601295
seuil4,500,0.0024950504303,0.0000049901009
seuil4,500,0.00272607803345,0.0000054521561
seuil4,500,0.00279808044434,0.0000055961609
seuil4,500,0.00271916389465,0.0000054383278
seuil4,500,0.00275111198425,0.0000055022240
brute,1000,0.151523828506,0.0000001515238
brute,1000,0.157064914703,0.0000001570649
brute,1000,0.157841920853,0.0000001578419
brute,1000,0.154881954193,0.0000001548820
brute,1000,0.154067993164,0.0000001540680
brute,1000,0.154737949371,0.0000001547379
brute,1000,0.153527021408,0.0000001535270
brute,1000,0.158243179321,0.0000001582432
brute,1000,0.153628826141,0.0000001536288
brute,1000,0.154263019562,0.0000001542630
seuil,1000,0.0071759223938,0.0000071759224
seuil,1000,0.0072500705719,0.0000072500706
seuil,1000,0.00705718994141,0.0000070571899
seuil,1000,0.00689888000488,0.0000068988800
seuil,1000,0.00686097145081,0.0000068609715
seuil,1000,0.00686407089233,0.0000068640709
seuil,1000,0.00686717033386,0.0000068671703
seuil,1000,0.00694894790649,0.0000069489479
seuil,1000,0.00731110572815,0.0000073111057
seuil,1000,0.00755500793457,0.0000075550079
seuil4,1000,0.00531196594238,0.0000053119659
seuil4,1000,0.00531911849976,0.0000053191185
seuil4,1000,0.00543689727783,0.0000054368973
seuil4,1000,0.00502181053162,0.0000050218105
seuil4,1000,0.00534892082214,0.0000053489208
seuil4,1000,0.00515604019165,0.0000051560402
seuil4,1000,0.00518798828125,0.0000051879883
seuil4,1000,0.00531911849976,0.0000053191185
seuil4,1000,0.00491786003113,0.0000049178600
seuil4,1000,0.00554490089417,0.0000055449009
brute,5000,3.89829683304,0.0000001559319
brute,5000,3.94668698311,0.0000001578675
brute,5000,3.99805784225,0.0000001599223
brute,5000,3.94453406334,0.0000001577814
brute,5000,3.91246891022,0.0000001564988
brute,5000,3.92354083061,0.0000001569416
brute,5000,3.91004490852,0.0000001564018
brute,5000,3.99714183807,0.0000001598857
brute,5000,4.0137488842,0.0000001605500
brute,5000,3.95383214951,0.0000001581533
seuil,5000,0.0456020832062,0.0000091204166
seuil,5000,0.0450839996338,0.0000090167999
seuil,5000,0.0441899299622,0.0000088379860
seuil,5000,0.04518699646,0.0000090373993
seuil,5000,0.0443449020386,0.0000088689804
seuil,5000,0.0435979366302,0.0000087195873
seuil,5000,0.0453360080719,0.0000090672016
seuil,5000,0.0445411205292,0.0000089082241
seuil,5000,0.0599570274353,0.0000119914055
seuil,5000,0.0448331832886,0.0000089666367
seuil4,5000,0.0383689403534,0.0000076737881
seuil4,5000,0.0373029708862,0.0000074605942
seuil4,5000,0.0376510620117,0.0000075302124
seuil4,5000,0.0377359390259,0.0000075471878
seuil4,5000,0.0382299423218,0.0000076459885
seuil4,5000,0.0380439758301,0.0000076087952
seuil4,5000,0.0400400161743,0.0000080080032
seuil4,5000,0.0373160839081,0.0000074632168
seuil4,5000,0.0379271507263,0.0000075854301
seuil4,5000,0.0369808673859,0.0000073961735
brute,10000,15.1994459629,0.0000001519945
brute,10000,14.9704768658,0.0000001497048
brute,10000,15.5280070305,0.0000001552801
brute,10000,15.5013508797,0.0000001550135
brute,10000,16.1841599941,0.0000001618416
brute,10000,15.9256608486,0.0000001592566
brute,10000,15.9705131054,0.0000001597051
brute,10000,16.1520831585,0.0000001615208
brute,10000,15.9632160664,0.0000001596322
brute,10000,16.375674963,0.0000001637567
seuil,10000,0.0969500541687,0.0000096950054
seuil,10000,0.0941729545593,0.0000094172955
seuil,10000,0.098258972168,0.0000098258972
seuil,10000,0.0963931083679,0.0000096393108
seuil,10000,0.0975811481476,0.0000097581148
seuil,10000,0.0950269699097,0.0000095026970
seuil,10000,0.0984768867493,0.0000098476887
seuil,10000,0.0994920730591,0.0000099492073
seuil,10000,0.0946409702301,0.0000094640970
seuil,10000,0.0966188907623,0.0000096618891
seuil4,10000,0.0839540958405,0.0000083954096
seuil4,10000,0.0822110176086,0.0000082211018
seuil4,10000,0.0837140083313,0.0000083714008
seuil4,10000,0.0856840610504,0.0000085684061
seuil4,10000,0.0851340293884,0.0000085134029
seuil4,10000,0.0832431316376,0.0000083243132
seuil4,10000,0.0829381942749,0.0000082938194
seuil4,10000,0.0847411155701,0.0000084741116
seuil4,10000,0.0832710266113,0.0000083271027
seuil4,10000,0.0831460952759,0.0000083146095
brute,25000,102.081041098,0.0000001633297
brute,25000,105.455502987,0.0000001687288
brute,25000,104.060299158,0.0000001664965
brute,25000,102.504346132,0.0000001640070
brute,25000,102.809363842,0.0000001644950
brute,25000,104.355825901,0.0000001669693
brute,25000,101.351402998,0.0000001621622
brute,25000,102.4928689,0.0000001639886
brute,25000,104.205555916,0.0000001667289
brute,25000,104.196430922,0.0000001667143
seuil,25000,0.272690057755,0.0000109076023
seuil,25000,0.274745941162,0.0000109898376
seuil,25000,0.271120786667,0.0000108448315
seuil,25000,0.276089906693,0.0000110435963
seuil,25000,0.272546052933,0.0000109018421
seuil,25000,0.27391409874,0.0000109565639
seuil,25000,0.274796962738,0.0000109918785
seuil,25000,0.27450299263,0.0000109801197
seuil,25000,0.273446083069,0.0000109378433
seuil,25000,0.268215894699,0.0000107286358
seuil4,25000,0.233401060104,0.0000093360424
seuil4,25000,0.231225013733,0.0000092490005
seuil4,25000,0.235345125198,0.0000094138050
seuil4,25000,0.234982967377,0.0000093993187
seuil4,25000,0.230975866318,0.0000092390347
seuil4,25000,0.238125801086,0.0000095250320
seuil4,25000,0.235757112503,0.0000094302845
seuil4,25000,0.241763114929,0.0000096705246
seuil4,25000,0.235626935959,0.0000094250774
seuil4,25000,0.233808994293,0.0000093523598
,,,0.0000009352000
