algo,taille,temps,fx
seuil4,100,0.000337839126587,200
seuil4,100,0.000324010848999,200
seuil4,100,0.000347852706909,200
seuil4,100,0.000313997268677,200
seuil4,100,0.000473976135254,200
seuil4,100,0.000362873077393,200
seuil4,100,0.000348091125488,200
seuil4,100,0.000350952148438,200
seuil4,100,0.000371932983398,200
seuil4,100,0.000334978103638,200
seuil4,500,0.00228810310364,1349.48500216801
seuil4,500,0.00245785713196,1349.48500216801
seuil4,500,0.00247287750244,1349.48500216801
seuil4,500,0.00223803520203,1349.48500216801
seuil4,500,0.00244188308716,1349.48500216801
seuil4,500,0.00241303443909,1349.48500216801
seuil4,500,0.00239205360413,1349.48500216801
seuil4,500,0.00221610069275,1349.48500216801
seuil4,500,0.00252294540405,1349.48500216801
seuil4,500,0.00248193740845,1349.48500216801
seuil4,1000,0.00519990921021,3000
seuil4,1000,0.0051109790802,3000
seuil4,1000,0.00513887405396,3000
seuil4,1000,0.00497984886169,3000
seuil4,1000,0.00543689727783,3000
seuil4,1000,0.00537610054016,3000
seuil4,1000,0.00813579559326,3000
seuil4,1000,0.00569200515747,3000
seuil4,1000,0.00546407699585,3000
seuil4,1000,0.0051600933075,3000
seuil4,2000,0.0118460655212,6602.05999132796
seuil4,2000,0.0114920139313,6602.05999132796
seuil4,2000,0.0117149353027,6602.05999132796
seuil4,2000,0.0126090049744,6602.05999132796
seuil4,2000,0.0119118690491,6602.05999132796
seuil4,2000,0.0123500823975,6602.05999132796
seuil4,2000,0.0124261379242,6602.05999132796
seuil4,2000,0.0126578807831,6602.05999132796
seuil4,2000,0.0122590065002,6602.05999132796
seuil4,2000,0.0121901035309,6602.05999132796
seuil4,4000,0.0283770561218,14408.2399653118
seuil4,4000,0.0267338752747,14408.2399653118
seuil4,4000,0.0267441272736,14408.2399653118
seuil4,4000,0.0281240940094,14408.2399653118
seuil4,4000,0.025887966156,14408.2399653118
seuil4,4000,0.0266921520233,14408.2399653118
seuil4,4000,0.0271010398865,14408.2399653118
seuil4,4000,0.0267241001129,14408.2399653118
seuil4,4000,0.0280840396881,14408.2399653118
seuil4,4000,0.0262241363525,14408.2399653118
seuil4,8000,0.0613031387329,31224.7198959355
seuil4,8000,0.059718132019,31224.7198959355
seuil4,8000,0.062646150589,31224.7198959355
seuil4,8000,0.0590808391571,31224.7198959355
seuil4,8000,0.0619020462036,31224.7198959355
seuil4,8000,0.059830904007,31224.7198959355
seuil4,8000,0.0599679946899,31224.7198959355
seuil4,8000,0.0588710308075,31224.7198959355
seuil4,8000,0.0607919692993,31224.7198959355
seuil4,8000,0.0593378543854,31224.7198959355
seuil4,10000,0.0863909721375,40000
seuil4,10000,0.0829229354858,40000
seuil4,10000,0.0861649513245,40000
seuil4,10000,0.0860159397125,40000
seuil4,10000,0.0862338542938,40000
seuil4,10000,0.0840690135956,40000
seuil4,10000,0.0820190906525,40000
seuil4,10000,0.0835900306702,40000
seuil4,10000,0.0838260650635,40000
seuil4,10000,0.0852608680725,40000
seuil4,12000,0.105043172836,48950.1749525715
seuil4,12000,0.103334903717,48950.1749525715
seuil4,12000,0.107037067413,48950.1749525715
seuil4,12000,0.106451034546,48950.1749525715
seuil4,12000,0.106158018112,48950.1749525715
seuil4,12000,0.100670099258,48950.1749525715
seuil4,12000,0.102602005005,48950.1749525715
seuil4,12000,0.100708961487,48950.1749525715
seuil4,12000,0.103630065918,48950.1749525715
seuil4,12000,0.100802898407,48950.1749525715
seuil4,14000,0.120534896851,58045.7924994953
seuil4,14000,0.123044967651,58045.7924994953
seuil4,14000,0.123829841614,58045.7924994953
seuil4,14000,0.119405984879,58045.7924994953
seuil4,14000,0.12325501442,58045.7924994953
seuil4,14000,0.122769117355,58045.7924994953
seuil4,14000,0.120125055313,58045.7924994953
seuil4,14000,0.123783111572,58045.7924994953
seuil4,14000,0.124626874924,58045.7924994953
seuil4,14000,0.12429189682,58045.7924994953
